,Post URL,Post publish date,Engagements,Impressions,Title,Description,Thumbnail,Topics
0,https://www.linkedin.com/feed/update/urn:li:activity:7086725038053208064,7/17/2023,835,7548,KT Moore on LinkedIn: #honoredandgrateful #deib #diversityandinclusion #semiconductorindustry | 109 comments,"I want to express my heartfelt thanks to SEMI for this incredible honor and for acknowledging the importance of DEIB in our field. Together, we are shaping a… | 109 comments on LinkedIn",https://media.licdn.com/dms/image/D5610AQGkQ-Y-aYAwgg/image-shrink_1280/0/1689283805020?e=2147483647&v=beta&t=xULHTZBXxous_3vClrwf70pRqVr6ypxzYvUunIiWhxA,"DEIB Recognition, Gratitude, SEMI Honor, Shaping Together, Social Impact"
1,https://www.linkedin.com/feed/update/urn:li:activity:7095057821397831681,8/9/2023,530,57830,"KT Moore on LinkedIn: How Artificial Intelligence, Data And Analytics Are Transforming Formula… | 15 comments","Behind every Formula One (#F1) car tearing up the circuit at 250 mph is a team of engineers and scientists competing to wrangle every advantage, leveraging the… | 15 comments on LinkedIn",https://media.licdn.com/dms/image/sync/D5627AQE9rNhMntwquA/articleshare-shrink_800/0/1689028534530?e=2147483647&v=beta&t=jU_tiAm9j3SMhdz-47qCtvLkpIDUHnGF0hoe39bT2AA,"Engineering Excellence, Team Collaboration, High-Speed Innovation, Racing Technology, Competitive Edge"
2,https://www.linkedin.com/feed/update/urn:li:activity:7144825244808011776,12/24/2023,511,10631,KT Moore on LinkedIn: #holidayseason #happyholidays | 35 comments,"As the year comes to a close, let&#39;s express gratitude for the chapters we&#39;ve written and the lessons we&#39;ve learned. This #holidayseason, let&#39;s embrace the art… | 35 comments on LinkedIn",https://media.licdn.com/dms/image/D5622AQGAiidXsUTqNQ/feedshare-shrink_2048_1536/0/1703459081924?e=2147483647&v=beta&t=-U2L4zDUqV67VZmKpEdcUgwUKZiaFlEw_7q1l_OqgwU,"Gratitude, Reflection, Growth, Appreciation, New Beginnings"
3,https://www.linkedin.com/feed/update/urn:li:activity:7070162220726288384,6/1/2023,405,8802,KT Moore on LinkedIn: #innovation #intelligentsystem #computationalsoftware #ai #nasdaqlisted… | 26 comments,Excited to be part of this morning’s opening bell ceremony at Nasdaq to witness our CEO Dr. Anirudh Devgan and other Cadence executives open today&#39;s trading… | 26 comments on LinkedIn,https://media.licdn.com/dms/image/D5622AQEhpM_T_HTevA/feedshare-shrink_800/0/1685658028049?e=2147483647&v=beta&t=7Bgv435xtBlR7roBaLXxzXNqfHZqNXVFlS8fWKGarms,"Nasdaq Ceremony, CEO Devgan, Trading, Cadence Executives, Excitement"
4,https://www.linkedin.com/feed/update/urn:li:activity:7133484700509106176,11/23/2023,337,10124,KT Moore on LinkedIn: #thanksgiving2023 #thanksgivingday #thanksgiving | 17 comments,"This Thanksgiving, I encourage you to not only gather with family and friends and express your gratitude but also to keep in mind those who do not have family,… | 17 comments on LinkedIn",https://media.licdn.com/dms/image/D5610AQEH9etdwYyaTA/image-shrink_800/0/1700755260410?e=2147483647&v=beta&t=277w165CDxe4mVj6PfbewJ0C63MvO2QM6bbXKeECftc,"Gratitude, Community, Compassion, Inclusivity, Reflection"
5,https://www.linkedin.com/feed/update/urn:li:activity:7147397617709199360,1/1/2024,291,5087,KT Moore on LinkedIn: #happynewyear | 10 comments,"Wishing everyone in and out of my network a #HappyNewYear! 🎈🎊🎆

After a wild ride in 2023, we witnessed industry growth, innovation, disruption… | 10 comments on LinkedIn",https://media.licdn.com/dms/image/D5622AQHIdoL1qp4dhg/feedshare-shrink_2048_1536/0/1704072383547?e=2147483647&v=beta&t=-TWVnZ1Z4mKC1QAkO0bWIFdPXTFMkGktsor_ku6_WPI,"New Beginnings, Growth, Innovation, Reflection, Resilience"
6,https://www.linkedin.com/feed/update/urn:li:activity:7129219676231897088,11/11/2023,268,6182,KT Moore on LinkedIn: #veteransday | 20 comments,"Having grown up in a military family, #VeteransDay is a special time of reflection and gratitude for me and as a leader at Cadence Design Systems. My father… | 20 comments on LinkedIn",https://media.licdn.com/dms/image/D5622AQEVjKXgLg9XUw/feedshare-shrink_2048_1536/0/1699738424450?e=2147483647&v=beta&t=GQAPZi5RTs7M61eZBdpVu7N470EwOxElmRa10W3yV_c,"Military Family, Veterans Day, Reflection, Gratitude, Leadership"
7,https://www.linkedin.com/feed/update/urn:li:activity:7079119533206065152,6/26/2023,233,18304,KT Moore on LinkedIn: Driving Intelligence in Chip and System Design - EE Times Asia,"In a recent interview with EE Times Asia, Michael Shih, Corporate VP of Sales for Asia Pacific and Japan, Cadence Design Systems discussed the significant…",https://media.licdn.com/dms/image/sync/D5627AQH41PLeJjHgPQ/articleshare-shrink_800/0/1712015913196?e=2147483647&v=beta&t=6yZnk51WSYpkNoaMLUdjFADXum9DntBnEfEJswnPDdE,"Cadence Interview, Sales Strategy, Asia Pacific Market, Technology Trends, Michael Shih"
8,https://www.linkedin.com/feed/update/urn:li:activity:7153418956920262656,1/17/2024,215,16195,KT Moore on LinkedIn: AMD&#39;s Next GPU Is a 3D-Integrated Superchip,Building the MI300 is akin to building Skyscrapers on Silicon. This article brilliantly explains System Technology Co-optimization and the various design…,https://media.licdn.com/dms/image/sync/D4D27AQGSNc3tIgCOrw/articleshare-shrink_800/0/1711565082312?e=2147483647&v=beta&t=iUzCjsvNKUEd87fYHiZBb0NPLkKh85M7-J71GuxVD10,"MI300, Skyscrapers, Silicon, Co-optimization, Design"
9,https://www.linkedin.com/feed/update/urn:li:activity:7059976704752062465,5/4/2023,207,7797,KT Moore on LinkedIn: CadenceLIVE 2023 Satellite Tracking Presentation | 20 comments,"Out of all the amazing presentations that I&#39;ve witnessed at #CadenceLIVE events over the years, the most exceptional one this year was by a remarkable… | 20 comments on LinkedIn",https://media.licdn.com/dms/image/sync/D5627AQGWYVi2R11NvA/articleshare-shrink_800/0/1712199440555?e=2147483647&v=beta&t=dqr4ELKUgYz9DO2HWG1zF-Rn8kkFYMjGuEqRk111LyE,"Innovation, Inspiration, Technology, Leadership, Impact"
10,https://www.linkedin.com/feed/update/urn:li:activity:7121257219601399808,10/20/2023,197,4761,KT Moore on LinkedIn: #cadenceconnect #cfd #ai,It was an exciting moment at #CadenceCONNECT in Austin as we unveiled the future of automotive design with our cutting-edge full-flow #CFD solution Fidelity…,https://media.licdn.com/dms/image/D5622AQGirisCyipEyA/feedshare-shrink_2048_1536/0/1697840025527?e=2147483647&v=beta&t=l8M_tfK-VtN67jZve16K5VDjX1yfHXk8wIQ556rp-j4,"Automotive Design, CFD Solution, Future Unveiled, Exciting Moment, CadenceCONNECT"
11,https://www.linkedin.com/feed/update/urn:li:activity:7168296724782940160,2/27/2024,180,6985,KT Moore on LinkedIn: It was an honor to visit Texas A&amp;M University to participate in the 2024… | 21 comments,"It was an honor to visit Texas A&amp;M University to participate in the 2024 NSBE Region V Spring Zone Meeting, planned and organized by Chandlier R. Richmond. I… | 21 comments on LinkedIn",https://media.licdn.com/dms/image/D5610AQGm6RLO2rA5lQ/image-shrink_800/0/1709055063718?e=2147483647&v=beta&t=97tbtTUKoZ2naeF6_IG9vWcG9feKgxnnmJNmFUyjXj0,"Texas A&M, NSBE Region V, Spring Zone Meeting, Chandlier R. Richmond, Honor Visit"
12,https://www.linkedin.com/feed/update/urn:li:activity:7067896264129949696,5/26/2023,172,4170,KT Moore on LinkedIn: #cadencelive #generativeai #chipdesign #ai | 15 comments,"In a recent #CadenceLIVE Silicon Valley, Bob O&#39;Donnell, president, founder and chief analyst at TECHnalysis Research moderated a panel on the topic of… | 15 comments on LinkedIn",https://media.licdn.com/dms/image/D4E22AQH2vWaLN-zvMA/feedshare-shrink_2048_1536/0/1685117782302?e=2147483647&v=beta&t=OcsAM3m9pYpl9TDIXJcPA3BpzrHECnRZTKcn0s_dC1M,"Tech Trends, Panel Discussion, Silicon Valley, CadenceLIVE, Social Media"
13,https://www.linkedin.com/feed/update/urn:li:activity:7065348640961155072,5/19/2023,159,3563,KT Moore on LinkedIn: Better Engineering Through Artificial Intelligence,"Cadence Design Systems’ Product Management, Group Director, Brad Griffin, discussed the potential benefits of incorporating #AI and #ML as #engineering aids in…",https://media.licdn.com/dms/image/sync/D4D27AQGeKd7ISukrsQ/articleshare-shrink_800/0/1681159239227?e=2147483647&v=beta&t=_EKyOaI3HhTc_7-SvbPFvUIXdOE5aprqWnxJUv10KjY,"AI Integration, Engineering Efficiency, ML Applications, Product Development, Technology Innovation"
14,https://www.linkedin.com/feed/update/urn:li:activity:7131371658124152832,11/17/2023,155,5980,KT Moore on LinkedIn: #cadenceconnect #cfd #ai #futureofautomotive #ai,"It was an exciting moment at #CadenceCONNECT networking event with McLaren Racing at Cadence Design Systems headquarters, as we unveiled the future of…",https://media.licdn.com/dms/image/D5622AQFSFOMrPp4URg/feedshare-shrink_800/0/1700251494930?e=2147483647&v=beta&t=e17XuVvffOV6AdmZXEEP2AO8LVr3g2e9fWW5Wz2wIIM,"Innovation, Collaboration, Technology, Partnership, Future Vision"
15,https://www.linkedin.com/feed/update/urn:li:activity:7128785058827571200,11/10/2023,151,4993,KT Moore on LinkedIn: #computing #technology,"With a success-based business model designed to fuel innovation, Arm is uniquely positioned at the center of the world&#39;s largest technology ecosystem.

Cadence…",https://media.licdn.com/dms/image/D5605AQEJPaF-qyof3g/videocover-high/0/1699634761678?e=2147483647&v=beta&t=5BH2xoyRjwUWerwS0p_HXG-S3ckR2d-ySzE3gl5f-Bo,"Innovation, Technology, Success, Ecosystem, Arm"
16,https://www.linkedin.com/feed/update/urn:li:activity:7171917849647538179,3/8/2024,145,3420,KT Moore on LinkedIn: #womenshistorymonth #internationalwomensday #dei,"This #WomensHistoryMonth and #InternationalWomensDay, I couldn&#39;t help but think about the work that still has to be done to move the needle on DEI.

This is…",https://media.licdn.com/dms/image/D4D10AQFRMGc8w96OWA/image-shrink_800/0/1709918440410?e=2147483647&v=beta&t=YdYlO5BCW2Q8XMYXrh2iAbdpAuOlx3MbF2fdKZim-1k,"Gender Equality, Empowerment, Diversity, Inclusion, Progress"
17,https://www.linkedin.com/feed/update/urn:li:activity:7175950491258875904,3/19/2024,136,6664,KT Moore on LinkedIn: #ai #gtc24,"Cadence announced an expansion of its multi-year collaboration with NVIDIA across EDA, system design and analysis, digital biology, and AI, unveiling two new…",https://media.licdn.com/dms/image/D5610AQFm_01OLgjMFA/image-shrink_800/0/1710879919678?e=2147483647&v=beta&t=LUH8MrBYFxXbhnaAuH3VrDamWZjuCiGtGM-ugXljS4U,"Cadence Expansion, NVIDIA Collaboration, EDA Innovation, Digital Biology, AI Advancements"
18,https://www.linkedin.com/feed/update/urn:li:activity:7152699471028457472,1/15/2024,133,4773,KT Moore on LinkedIn: #equality #diversity #inclusion #culture #mlkday,Martin Luther King Jr. Day reminds us of the ongoing work needed to create a society where everyone has a fair chance to succeed. His unwavering commitment to…,https://media.licdn.com/dms/image/D5622AQHwGJw0pGlZPA/feedshare-shrink_2048_1536/0/1705336443624?e=2147483647&v=beta&t=LRbMYjS6IGcv9wGImb9O69hPJj15-ZHMGK5gGXi3ReQ,"Equality, Justice, Civil Rights, Unity, Progress"
19,https://www.linkedin.com/feed/update/urn:li:activity:7158156534747672576,1/30/2024,131,3843,"KT Moore on LinkedIn: A Symphony of Success: KT Moore on AI, EDA, Semiconductors, Creativity… | 10 comments","Like most people, I can&#39;t really talk about who I am without talking about my parents. They believed in education, prioritizing growth, and doing things to… | 10 comments on LinkedIn",https://media.licdn.com/dms/image/sync/D5627AQFtVqTB6gJtgg/articleshare-shrink_800/0/1711479235677?e=2147483647&v=beta&t=qwu-EZc8Z3lCx4QLW1kwofbdqHfWJ4phS_tAQ3ZZG-c,"Family Influence, Education Values, Personal Growth, Parental Support, Career Development"
